case_id,source_id,kind,method,true_geometry_center,true_appearance_center,true_depth,true_multiplier,predicted_geometry_center,predicted_depth,predicted_multiplier,depth_absolute_error,whole_blade_rms_error,support_rms_error,local_rms_error,support_iou,display_threshold,eligible_area_recall,eligible_false_area_fraction
c035,9,mixed,geometry_only,0,1,0.0015,0.7,0,0.0014155552035481852,1.0,8.44447964518148e-05,9.9752521083278e-07,2.2797911323603155e-05,2.000872058237101e-05,1.0,1e-05,1.0,0.0
c035,9,mixed,appearance_only,0,1,0.0015,0.7,,0.0,0.6861968853774567,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c035,9,mixed,zero,0,1,0.0015,0.7,,0.0,1.0,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c036,9,mixed,joint,0,2,0.00075,0.7,0,0.000652110704433351,0.6860562691439602,9.788929556664905e-05,1.1563467244926982e-06,2.6427693213028128e-05,2.351435795051113e-05,1.0,1e-05,1.0,0.0
c036,9,mixed,geometry_only,0,2,0.00075,0.7,0,0.0006900047520988511,1.0,5.9995247901148906e-05,7.087120187068496e-07,1.6197238634387656e-05,1.4411687894439246e-05,1.0,1e-05,1.0,0.0
c036,9,mixed,appearance_only,0,2,0.00075,0.7,,0.0,0.6857821787421048,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c036,9,mixed,zero,0,2,0.00075,0.7,,0.0,1.0,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c037,9,mixed,joint,0,2,0.0015,0.7,0,0.0013827600987152647,0.6863051222962164,0.00011723990128473531,1.3849271387108811e-06,3.1651777600753216e-05,2.7779368224963948e-05,1.0,1e-05,1.0,0.0
c037,9,mixed,geometry_only,0,2,0.0015,0.7,0,0.0014206241089814273,1.0,7.937589101857274e-05,9.376472581381308e-07,2.1429432366529225e-05,1.8807667003473034e-05,1.0,1e-05,1.0,0.0
c037,9,mixed,appearance_only,0,2,0.0015,0.7,,0.0,0.6857239306848075,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c037,9,mixed,zero,0,2,0.0015,0.7,,0.0,1.0,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c038,9,mixed,joint,1,0,0.00075,0.7,1,0.0006071073252388496,0.6848103440736901,0.00014289267476115042,1.6309488518745583e-06,3.7943009887145314e-05,3.490558827844737e-05,1.0,1e-05,1.0,0.0
c038,9,mixed,geometry_only,1,0,0.00075,0.7,1,0.0006378899773926174,1.0,0.00011211002260738266,1.2796076986324394e-06,2.9769274478283576e-05,2.738618040354761e-05,1.0,1e-05,1.0,0.0
